country,epgshare_id,epgshare_name
de,Euro.Star.de,Euro Star
de,Sky.Cinema.Family.HD.de,Sky Cinema Family HD
de,Sky.Cinema.Highlights.HD.de,Sky Cinema Highlights HD
de,Sky.Cinema.Action.HD.de,Sky Cinema Action HD
de,Sky.Cinema.Classics.HD.de,Sky Cinema Classics HD
de,Sky.Nature.de,Sky Nature
de,Sky.Sport.Bundesliga.de,Sky Sport Bundesliga
de,Sky.Sport.Premier.League.de,Sky Sport Premier League
de,Sky.Krimi.de,Sky Krimi
de,sky.replay.de,sky replay
de,Universal.Channel.HD.de,Universal Channel HD
de,Spiegel.Geschichte.de,Spiegel Geschichte
de,Discovery.HD.de,Discovery HD
de,SyFy.de,SyFy
de,CRIME.+.INVESTIGATION.de,CRIME + INVESTIGATION
de,AXN.Black.de,AXN Black
de,Bergblick.de,Bergblick
de,LUST.PUR.de,LUST PUR
de,Mezzo.de,Mezzo
de,Nautical.Channel.de,Nautical Channel
de,NOW.US.de,NOW US
de,Silverline.de,Silverline
de,AXN.White.de,AXN White
de,Motorvision+.de,Motorvision+
de,Sky.Replay.HD.de,Sky Replay HD
de,Sky.Sport.Bundesliga.UHD.de,Sky Sport Bundesliga UHD
de,Sky.Sport.Bundesliga.1.de,Sky Sport Bundesliga 1
de,Sky.Sport.Bundesliga.2.de,Sky Sport Bundesliga 2
de,Sky.Sport.Bundesliga.3.de,Sky Sport Bundesliga 3
de,Sky.Sport.Bundesliga.4.de,Sky Sport Bundesliga 4
de,Sky.Sport.Bundesliga.5.de,Sky Sport Bundesliga 5
de,Sky.Sport.Bundesliga.6.de,Sky Sport Bundesliga 6
de,Sky.Sport.Bundesliga.7.de,Sky Sport Bundesliga 7
de,Sky.Sport.Bundesliga.8.de,Sky Sport Bundesliga 8
de,Sky.Sport.Bundesliga.9.de,Sky Sport Bundesliga 9
de,Sky.Sport.Bundesliga.10.de,Sky Sport Bundesliga 10
de,FUSSBALL.TV.1.de,FUSSBALL.TV 1
de,FUSSBALL.TV.2.de,FUSSBALL.TV 2
de,FUSSBALL.TV.3.de,FUSSBALL.TV 3
